mv1,174.077,1334883,28
mv2,173.85,1380035,20
mv3,7.738,41840,28
mv4,586.506,4523930,15
mv6,402.65,2609129,79
mv8,107.822,708961,29
mv9,0.053,14,88
mv10,1505.716,9777109,60
mv11,260.917,1901672,60
mv12,21.769,104995,92
mv13,172.113,1153798,98
mv14,111.232,867477,26
mv15,1.782,8790,88
mv16,0.034,100,734
mv17,283.887,2292034,33
mv18,172.18,1381453,33
mv19,61.625,391666,33
mv20,19.053,121572,15
mv21,63.645,327313,46
mv22,96.684,662825,40
mv23,0.419,2218,50
mv24,39.243,259848,15
mv25,62.148,454230,15
mv26,14249.703,109206944,45
mv27,34.852,223753,29
mv28,129.185,946906,32
mv29,161.122,1244716,26
mv30,153.28,1074765,33
